p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronconnolly,2019,13,161,1312,24,28,2148,41,1/28/2000,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58,63,Forward,19,,,,,,24.613627492084603,2.5,2,,,
aaronconnolly,2020,71,161,836,17,28,2148,41,1/28/2000,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58,63,Forward,20,1312,24,54.666666666666664,13,24,24.613627492084603,2.5,2,0,161,13
aaroncresswell,2016,95,226,2247,26,27,13368,149,12/15/1989,171.66666666666666,66,England,High/Medium,74.33333333333333,67,75.33333333333333,Defender,27,,,,,,22.396078801018007,3.5,1,,,
aaroncresswell,2018,87,226,1680,20,27,13368,149,12/15/1989,171.66666666666666,66,England,High/Medium,74.33333333333333,67,75.33333333333333,Defender,29,2247,26,86.42307692307692,95,26,22.396078801018007,3.5,1,0,226,95
aaroncresswell,2019,35,226,2870,31,31,13368,149,12/15/1989,171.66666666666666,66,England,High/Medium,74.33333333333333,67,75.33333333333333,Defender,30,3927,46,85.36956522,91,23,22.396078801018007,3.5,1,0,452,87
aaroncresswell,2020,9,226,3342,36,36,13368,149,12/15/1989,171.66666666666666,66,England,High/Medium,74.33333333333333,67,75.33333333333333,Defender,31,6797,77,88.27272727272727,72.33333333333333,25.666666666666668,22.396078801018007,3.5,1,0,678,35
aaronlennon,2017,33,199,1996,29,29,4371,72,4/16/1987,165,63,England,High/High,81.8,59.2,75.8,Midfielder,30,,,,,,23.140495867768596,4,3,,,
aaronlennon,2018,166,199,1279,16,16,4371,72,4/16/1987,165,63,England,High/High,81.8,59.2,75.8,Midfielder,31,1996,29,68.82758620689656,33,29,23.140495867768596,4,3,0,199,33
aaronmooy,2017,26,130,3226,36,36,7942,96,9/15/1990,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,27,,,,,,24.102609829121498,3,3,,,
aaronmooy,2018,89,130,2467,29,29,7942,96,9/15/1990,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,28,3226,36,89.61111111111111,26,36,24.102609829121498,3,3,0,130,26
aaronmooy,2019,15,130,2249,31,36,7942,96,9/15/1990,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,29,5693,65,87.58461538461539,57.5,32.5,24.102609829121498,3,3,0,260,89
aaronramsdale,2019,11,11,3515,37,37,7125,75,5/14/1998,188,77,England,Medium/Medium,,,65,Goalkeeper,21,,,,,,21.785875961973744,3,0,,,
aaronramsey,2016,122,436,1329,23,24,4692,75,12/26/1990,181,74,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,26,,,,,,22.587833094227893,4,3,,,
