start_year,season_days_injured,season_minutes_played,height_cm,weight_kg,position,age,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,season_days_injured_prev_season,isForward,isMidfielder,isDefender
2019,13,1312,175.3333333,75.66666667,Forward,19,24.61362749,2.5,2,0,0,1,0,0
2020,71,836,175.3333333,75.66666667,Forward,20,24.61362749,2.5,2,0,13,1,0,0
2016,95,2247,171.6666667,66,Defender,27,22.3960788,3.5,1,0,0,0,0,1
2018,87,1680,171.6666667,66,Defender,29,22.3960788,3.5,1,0,95,0,0,1
2019,35,2870,171.6666667,66,Defender,30,22.3960788,3.5,1,0,87,0,0,1
2020,9,3342,171.6666667,66,Defender,31,22.3960788,3.5,1,0,35,0,0,1
2017,33,1996,165,63,Midfielder,30,23.14049587,4,3,0,0,0,1,0
2018,166,1279,165,63,Midfielder,31,23.14049587,4,3,0,33,0,1,0
2017,26,3226,173.8333333,72.83333333,Midfielder,27,24.10260983,3,3,0,0,0,1,0
2018,89,2467,173.8333333,72.83333333,Midfielder,28,24.10260983,3,3,0,26,0,1,0
2019,15,2249,173.8333333,72.83333333,Midfielder,29,24.10260983,3,3,0,89,0,1,0
2019,11,3515,188,77,Goalkeeper,21,21.78587596,3,0,0,0,0,0,0
2016,122,1329,181,74,Midfielder,26,22.58783309,4,3,0,0,0,1,0
2016,122,1329,181,74,Midfielder,26,22.58783309,4,3,1,122,0,1,0
2017,44,1945,181,74,Midfielder,27,22.58783309,4,3,1,122,0,1,0
2017,44,1945,181,74,Midfielder,27,22.58783309,4,3,0,44,0,1,0
2018,157,1418,181,74,Midfielder,28,22.58783309,4,3,0,44,0,1,0
2018,157,1418,181,74,Midfielder,28,22.58783309,4,3,1,157,0,1,0
2018,95,48,186,80,Midfielder,22,23.12406059,3,3,0,0,0,1,0
2018,42,745,177,78.5,Forward,23,25.05665677,3.5,2,0,0,1,0,0
2016,157,190,188,90,Goalkeeper,31,25.46401086,3,0,0,0,0,0,0
2019,28,273,190,83,Forward,18,22.99168975,3.5,2,0,0,1,0,0
2016,63,2425,175,73,Midfielder,28,23.83673469,4,3,0,0,0,1,0
2017,160,285,175,73,Midfielder,29,23.83673469,4,3,0,63,0,1,0
2018,142,505,175,73,Midfielder,30,23.83673469,4,3,1,160,0,1,0
2020,48,1693,175,73,Midfielder,32,23.83673469,4,3,1,142,0,1,0
2017,49,2194,180,79,Defender,26,24.38271605,3.5,1,0,0,0,0,1
2017,49,2194,180,79,Goalkeeper,26,24.38271605,3.5,0,0,49,0,0,0
2017,49,2194,186.4,70,Defender,25,20.1468069,3,1,0,49,0,0,1
2017,49,2194,186.4,70,Goalkeeper,25,20.1468069,3,0,0,49,0,0,0
2018,107,2200,180,79,Defender,27,24.38271605,3.5,1,0,49,0,0,1
2018,107,2200,180,79,Goalkeeper,27,24.38271605,3.5,0,0,107,0,0,0
2018,107,2200,186.4,70,Defender,26,20.1468069,3,1,0,107,0,0,1
2018,107,2200,186.4,70,Goalkeeper,26,20.1468069,3,0,0,107,0,0,0
2019,93,2155,180,79,Defender,28,24.38271605,3.5,1,0,107,0,0,1
2019,93,2155,180,79,Goalkeeper,28,24.38271605,3.5,0,0,93,0,0,0
2019,93,2155,186.4,70,Defender,27,20.1468069,3,1,0,93,0,0,1
2019,93,2155,186.4,70,Goalkeeper,27,20.1468069,3,0,0,93,0,0,0
2019,31,2815,190,75,Defender,24,20.77562327,3,1,0,0,0,0,1
2020,16,2735,190,75,Defender,25,20.77562327,3,1,0,31,0,0,1
2018,78,701,174,76.6,Forward,21,25.30056811,3.5,2,0,0,1,0,0
